1000 200
1 713 1037
2 72 952
3 1251 2325
4 1970 1577
5 98 2728
6 112 1513
7 75 1370
8 1055 2952
9 1569 2913
10 1835 328
11 1411 665
12 1945 2815
13 1449 2375
14 1701 2297
15 1009 301
16 689 1434
17 385 73
18 1397 2112
19 1689 1988
20 715 718
21 230 786
22 507 1178
23 1129 1304
24 569 2561
25 1240 1697
26 1714 755
27 1569 650
28 25 2010
29 1306 370
30 670 1077
31 510 2667
32 739 2358
33 470 2247
34 1234 2488
35 205 2158
36 295 300
37 1477 2435
38 738 2801
39 361 2606
40 1654 2306
41 61 2601
42 602 1367
43 1376 981
44 1350 626
45 1054 2034
46 1700 2019
47 1729 1916
48 1162 1790
49 1277 198
50 707 2747
51 1398 1482
52 1916 1
53 153 1874
54 1831 2005
55 663 2865
56 465 485
57 851 2075
58 1055 67
59 44 2579
60 1964 1757
61 1127 98
62 1365 1015
63 804 2855
64 1052 526
65 1624 1081
66 1914 2758
67 1110 1021
68 246 1181
69 1537 262
70 127 2077
71 1913 2199
72 1625 2943
73 361 2115
74 1693 2032
75 1788 1757
76 206 1008
77 22 2266
78 121 1570
79 447 1826
80 1258 2172
81 1282 70
82 1442 523
83 1703 2743
84 5 2039
85 115 2591
86 1790 483
87 1425 1379
88 1494 766
89 797 786
90 894 2538
91 1546 936
92 202 2099
93 668 2567
94 744 2674
95 197 114
96 1535 2001
97 1523 1830
98 573 2328
99 1366 1577
100 1168 1577
101 1411 2833
102 211 309
103 1426 2835
104 972 1704
105 1594 1575
106 1862 865
107 1315 2139
108 705 63
109 1088 982
110 1447 449
111 1801 2285
112 1114 1981
113 660 2676
114 1252 2686
115 614 26
116 210 2771
117 431 1024
118 1211 1420
119 476 1857
120 431 2182
121 399 2069
122 1207 292
123 707 713
124 47 263
125 63 794
126 1430 493
127 826 864
128 1891 1544
129 581 1485
130 1862 2494
131 265 195
132 1570 2071
133 843 47
134 903 2780
135 962 1318
136 1738 2685
137 1977 2712
138 1424 2296
139 1558 1035
140 1180 2822
141 1315 973
142 188 2610
143 1505 492
144 328 78
145 1571 85
146 1631 1190
147 612 2187
148 1234 2201
149 1980 1454
150 1123 1136
151 173 1293
152 1004 860
153 155 1149
154 1535 1780
155 601 65
156 37 1714
157 1675 2267
158 758 576
159 653 179
160 1264 2438
161 1979 575
162 762 894
163 446 1590
164 396 1995
165 482 2426
166 1718 518
167 378 2006
168 1154 1722
169 1501 1884
170 1300 40
171 1754 2453
172 720 688
173 263 428
174 959 1829
175 1266 1915
176 1842 1222
177 1467 2244
178 186 2603
179 949 265
180 690 1581
181 98 2782
182 788 759
183 1480 827
184 63 2293
185 1333 332
186 1785 2362
187 1050 1438
188 1217 1856
189 684 1312
190 579 175
191 748 2302
192 1897 420
193 1374 1215
194 831 82
195 1014 2322
196 455 1520
197 278 1112
198 290 1242
199 1887 2110
200 1793 2352
201 1714 219
202 1008 2929
203 784 2115
204 426 1224
205 399 2820
206 121 1356
207 1775 146
208 1712 1017
209 451 2148
210 1821 542
211 413 464
212 575 1276
213 1869 1691
214 1152 1217
215 1920 755
216 1325 944
217 873 2985
218 1099 684
219 908 8
220 1827 2877
221 1232 658
222 1155 1947
223 316 7
224 506 2867
225 1760 1766
226 229 1327
227 954 173
228 1215 1156
229 372 174
230 1281 718
231 1661 643
232 628 2605
233 1641 2885
234 893 2726
235 1602 2548
236 557 71
237 1018 834
238 192 1711
239 929 2685
240 450 1049
241 1727 2689
242 1213 678
243 1833 2680
244 206 2779
245 1496 1556
246 1199 1486
247 442 2508
248 393 178
249 1903 2082
250 981 2637
251 707 2857
252 1042 2537
253 1600 2076
254 1760 2585
255 633 528
256 1568 209
257 1239 360
258 1391 780
259 1558 423
260 1979 596
261 1081 1405
262 913 1529
263 1706 523
264 1956 305
265 1293 1960
266 1816 1937
267 825 2999
268 75 2857
269 441 424
270 952 834
271 395 426
272 137 1519
273 1651 2633
274 1055 1879
275 1475 560
276 965 2385
277 1265 1907
278 781 229
279 1533 2970
280 1282 89
281 25 1177
282 1175 1097
283 306 849
284 1273 601
285 1787 1098
286 875 2576
287 1446 181
288 165 11
289 890 1096
290 1008 219
291 956 1716
292 1974 972
293 200 1220
294 1542 1107
295 195 2084
296 1612 823
297 271 219
298 1419 1786
299 739 576
300 26 43
301 1618 1525
302 1057 900
303 263 1064
304 511 2221
305 791 152
306 219 1518
307 1841 2746
308 1966 192
309 1298 1392
310 827 2507
311 329 2844
312 62 1438
313 1576 2599
314 1527 1833
315 875 314
316 1190 2904
317 803 1493
318 1908 1246
319 1466 2065
320 568 2418
321 288 256
322 354 2138
323 1330 1128
324 872 1319
325 177 979
326 823 698
327 136 1505
328 1455 1236
329 1068 2711
330 376 2333
331 1236 2295
332 787 2565
333 1810 391
334 1807 1046
335 1815 1627
336 234 2727
337 1864 2102
338 582 2587
339 905 1545
340 524 453
341 1150 2081
342 1937 698
343 1285 637
344 1699 2744
345 1428 2353
346 647 1074
347 1990 2016
348 1406 2785
349 830 2151
350 1777 2564
351 290 1996
352 1098 11
353 597 1506
354 50 2031
355 1483 854
356 1286 2925
357 622 984
358 621 1223
359 1318 2907
360 611 2671
361 1097 745
362 1760 1609
363 1393 2086
364 1237 2517
365 1081 2574
366 1921 2013
367 1375 1722
368 227 18
369 1400 2324
370 177 629
371 1553 1882
372 1866 462
373 1036 1527
374 785 1838
375 1508 705
376 1450 1747
377 1355 2604
378 42 1561
379 1078 2099
380 24 278
381 642 510
382 231 944
383 1314 2017
384 340 2810
385 1790 713
386 1947 1868
387 681 1694
388 572 164
389 1001 2069
390 773 2708
391 1454 860
392 1464 1222
393 1783 2160
394 610 2857
395 1134 1212
396 1721 633
397 929 127
398 143 1303
399 1464 594
400 1658 834
401 53 2605
402 1299 1604
403 1767 2734
404 802 1870
405 1578 1119
406 1979 1574
407 148 383
408 543 2794
409 1650 282
410 1845 1504
411 489 135
412 1261 917
413 219 1417
414 362 2756
415 589 1035
416 1639 1019
417 1623 994
418 1727 2289
419 1511 1741
420 860 2880
421 805 88
422 822 1838
423 631 1952
424 1585 716
425 1220 1632
426 1766 1429
427 1345 1708
428 1124 2026
429 781 1916
430 302 2837
431 1855 2722
432 715 940
433 1581 829
434 1570 1793
435 24 2091
436 530 2781
437 1970 828
438 132 351
439 1067 600
440 1583 68
441 1497 286
442 1993 1348
443 725 1193
444 1108 2468
445 1304 2506
446 1579 409
447 1701 510
448 1339 645
449 1789 2281
450 723 1260
451 40 1812
452 991 1252
453 602 361
454 960 474
455 1542 2668
456 305 894
457 241 2390
458 582 2297
459 1764 2965
460 822 1042
461 1802 1419
462 929 2752
463 1396 854
464 1486 619
465 1878 184
466 1347 2208
467 1459 269
468 629 2338
469 163 2061
470 80 1940
471 1185 704
472 1445 2385
473 681 2425
474 741 1027
475 420 797
476 567 2915
477 666 1221
478 427 1495
479 113 414
480 1949 2912
481 120 1342
482 962 648
483 1985 2578
484 1990 2942
485 233 499
486 203 1070
487 454 2417
488 1193 1647
489 25 2486
490 634 2286
491 200 2796
492 1369 201
493 1047 2217
494 1982 795
495 1706 1512
496 1853 1283
497 1930 177
498 1755 2167
499 1460 2266
500 764 2096
501 165 1693
502 1461 1318
503 1317 970
504 808 654
505 1291 341
506 489 1441
507 993 2842
508 1410 1857
509 1651 1040
510 1551 2392
511 1674 708
512 1885 2755
513 1273 2955
514 220 991
515 86 1733
516 425 1983
517 301 603
518 1572 2237
519 1242 617
520 1309 2731
521 172 532
522 373 1797
523 5 516
524 1555 2783
525 1526 1007
526 1715 1457
527 1212 551
528 1505 2951
529 1941 484
530 1216 2724
531 1058 1378
532 980 2992
533 581 2358
534 1326 904
535 1634 2822
536 354 1987
537 1135 2157
538 1673 726
539 860 2140
540 1498 1579
541 1036 385
542 1935 2212
543 1514 1247
544 1082 1439
545 1514 806
546 184 1650
547 993 572
548 281 1515
549 418 1573
550 1395 607
551 945 404
552 912 2100
553 1177 1079
554 1570 2936
555 515 1037
556 773 1068
557 631 1550
558 148 2708
559 498 145
560 302 2581
561 230 364
562 935 485
563 352 575
564 1147 1215
565 1173 2121
566 1524 893
567 1344 2117
568 548 2436
569 1371 521
570 909 1469
571 1536 1237
572 138 681
573 740 519
574 663 285
575 218 2590
576 1953 1964
577 1801 1799
578 373 1239
579 453 2152
580 1272 1872
581 1116 1978
582 446 1148
583 1935 460
584 980 2345
585 1814 657
586 1894 2888
587 1920 349
588 1867 2031
589 668 1660
590 249 1881
591 197 237
592 35 1553
593 1791 1349
594 500 1760
595 631 2595
596 572 2123
597 1270 746
598 205 370
599 714 1556
600 1213 2536
601 1775 527
602 228 1458
603 1840 695
604 354 2094
605 1327 507
606 1743 954
607 1506 2875
608 223 130
609 889 2296
610 1890 2074
611 1196 2871
612 1616 814
613 183 1818
614 725 2173
615 60 896
616 1775 2937
617 1394 1835
618 1881 2
619 447 2234
620 92 2586
621 1539 1125
622 1999 1187
623 668 396
624 691 2221
625 1294 556
626 1426 1932
627 1745 2842
628 11 1393
629 1917 1279
630 1527 2735
631 1024 2977
632 163 1301
633 1654 1769
634 2 2043
635 628 1100
636 225 1446
637 984 2518
638 1913 575
639 796 1651
640 1558 2603
641 1886 1441
642 1634 2983
643 727 1631
644 261 996
645 731 2996
646 972 2787
647 1087 1106
648 874 2486
649 1528 2740
650 1192 1228
651 1673 507
652 1024 768
653 342 8
654 658 2936
655 1890 1489
656 282 1215
657 1549 1775
658 1757 2267
659 263 627
660 1622 1018
661 1804 1345
662 1802 945
663 430 2243
664 334 2675
665 1902 2309
666 1167 877
667 1644 926
668 1285 190
669 1477 338
670 178 2942
671 508 718
672 1493 2811
673 1078 56
674 683 601
675 1618 2692
676 1388 1656
677 1601 2774
678 1016 1189
679 215 382
680 691 1701
681 1578 2469
682 394 2857
683 399 1221
684 1910 1679
685 1972 1227
686 1945 1088
687 1250 480
688 887 1789
689 1389 327
690 370 1569
691 577 1359
692 1132 1757
693 1297 177
694 558 499
695 199 1512
696 1980 600
697 1809 1776
698 1349 1725
699 755 1559
700 785 2258
701 1697 2727
702 1558 2081
703 869 1947
704 1625 1444
705 365 258
706 1968 2995
707 103 941
708 1469 99
709 1597 2752
710 1615 2378
711 1978 147
712 1923 2594
713 670 786
714 344 2271
715 880 2777
716 855 2480
717 561 2577
718 1875 412
719 1207 2429
720 38 1499
721 1845 2923
722 863 2005
723 1455 1300
724 51 2683
725 1061 403
726 1550 2665
727 1610 2038
728 1175 2824
729 1446 1631
730 407 2870
731 1349 1677
732 1605 1261
733 24 1261
734 42 479
735 1330 1231
736 1153 1079
737 436 1174
738 1473 2368
739 1402 242
740 1997 875
741 1891 1462
742 1499 1898
743 1721 500
744 483 1025
745 894 1518
746 194 889
747 502 595
748 855 1799
749 1629 1877
750 107 2896
751 1327 1958
752 132 1612
753 331 2114
754 707 2956
755 183 732
756 546 703
757 600 2073
758 1573 396
759 1421 1320
760 189 2407
761 1295 2666
762 1260 383
763 533 148
764 1025 2467
765 1714 2161
766 1119 2483
767 1446 1392
768 1505 1602
769 1557 2776
770 1860 212
771 1266 2739
772 164 757
773 1152 866
774 537 2088
775 494 2572
776 1590 2726
777 1460 1788
778 288 2849
779 1667 2992
780 152 1312
781 794 2381
782 772 270
783 871 2592
784 719 1629
785 1192 780
786 870 578
787 1334 457
788 674 33
789 1120 2838
790 1761 1211
791 288 965
792 1753 2350
